,gateway_name,symbol,exchange,datetime,interval,volume,turnover,open_interest,open_price,high_price,low_price,close_price,vt_symbol
429,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:27:00+08:00,Interval.MINUTE,4.55652,0,0,109289.8,109289.8,109282.45,109289.8,BTCUSDT.BINANCE
430,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:28:00+08:00,Interval.MINUTE,0.98795,0,0,109289.8,109316.38,109289.79,109316.38,BTCUSDT.BINANCE
431,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:29:00+08:00,Interval.MINUTE,1.01103,0,0,109316.38,109325.86,109316.37,109325.86,BTCUSDT.BINANCE
432,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:30:00+08:00,Interval.MINUTE,1.46177,0,0,109325.86,109325.86,109308.17,109308.18,BTCUSDT.BINANCE
433,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:31:00+08:00,Interval.MINUTE,1.33593,0,0,109308.18,109308.18,109282.39,109282.4,BTCUSDT.BINANCE
434,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:32:00+08:00,Interval.MINUTE,3.99212,0,0,109282.4,109282.4,109271.82,109271.82,BTCUSDT.BINANCE
435,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:33:00+08:00,Interval.MINUTE,0.51202,0,0,109271.83,109271.83,109271.82,109271.82,BTCUSDT.BINANCE
436,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:34:00+08:00,Interval.MINUTE,4.21498,0,0,109271.83,109271.83,109270.35,109270.36,BTCUSDT.BINANCE
437,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:35:00+08:00,Interval.MINUTE,2.71481,0,0,109270.35,109280.0,109270.35,109279.99,BTCUSDT.BINANCE
438,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:36:00+08:00,Interval.MINUTE,3.34957,0,0,109280.0,109280.0,109249.06,109249.06,BTCUSDT.BINANCE
439,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:37:00+08:00,Interval.MINUTE,1.77223,0,0,109249.07,109249.07,109241.34,109241.34,BTCUSDT.BINANCE
440,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:38:00+08:00,Interval.MINUTE,1.34848,0,0,109241.35,109248.75,109241.34,109248.75,BTCUSDT.BINANCE
441,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:39:00+08:00,Interval.MINUTE,1.65115,0,0,109248.75,109262.95,109248.74,109262.95,BTCUSDT.BINANCE
442,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:40:00+08:00,Interval.MINUTE,0.81216,0,0,109262.95,109269.99,109262.95,109269.98,BTCUSDT.BINANCE
443,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:41:00+08:00,Interval.MINUTE,2.71358,0,0,109269.98,109269.99,109248.77,109248.78,BTCUSDT.BINANCE
444,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:42:00+08:00,Interval.MINUTE,1.02445,0,0,109248.77,109248.78,109241.67,109241.68,BTCUSDT.BINANCE
445,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:43:00+08:00,Interval.MINUTE,1.21285,0,0,109241.68,109241.68,109230.0,109230.01,BTCUSDT.BINANCE
446,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:44:00+08:00,Interval.MINUTE,6.3301,0,0,109230.0,109230.01,109229.68,109229.68,BTCUSDT.BINANCE
447,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 10:45:00+08:00,Interval.MINUTE,6.93741,0,0,109229.69,109229.69,109228.74,109228.75,BTCUSDT.BINANCE
